"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A3047",0.420275248545086,0.452029800663694,11770,18714,27780008,27780008,214743809,186963801,1682674.209,29462682.209,0.0605714083667647
"A3053",0.340272733998814,0.359198690740002,11850,27724,9509781,9509781,320252096,310742315,2796680.835,12306461.835,0.294084672927797
"A3094",0.262578995037336,0.299800705534291,10626,12666,6711489,6711489,131793757,125082268,1125740.412,7837229.412,0.16773333190295
"A3103",0.389602058014997,0.433986051285014,11589,3298,3874964,3874964,37287006,33412043,300708.387,4175671.387,0.0776026272760217
"A3105",0.339442354246866,0.387001853484691,13071,5480,-1956442,0,68773493,70729936,636569.424,-1319873.57600001,-0.325370455142547
"A3151",0.372712536771571,0.418919589285826,12808,8197,2299619,2299619,101388706,99089087,891801.783,3191420.78300001,0.387804146252056
"A3195",0.34868394158853,0.367994750298042,10474,6213,-980255,0,63346635,64326890,578942.01,-401312.990000002,-0.590603475626238
"A3224",0.316847075844547,0.351903983657649,11740,61474,28632580,28632580,703183092,674550512,6070954.608,34703534.608,0.21202960431788
"A3228",0.492154448551873,0.519006791005188,12266,5611,-268292,0,67062026,67330318,605972.862,337680.862000003,-2.25863187124478
"A3229",0.320998971642514,0.341525567713749,10623,60252,22965884,22965884,627372645,604406761,5439660.849,28405544.849,0.236858326420179
"A3235",0.354398919000498,0.385695277710559,12249,9534,-891319,0,113524508,114415827,1029742.443,138423.443000004,-1.15530179767289
"A3236",0.318383183361745,0.364629040068971,10219,30542,23631452,23631452,304660841,281029389,2529264.501,26160716.501,0.107029585020844
"A3247",0.553115995368928,0.55184387055602,10973,7539,375308,0,80888438,80513130,724618.17,1099926.17,1.93072934762915
"A3250",0.328687094985914,0.366448887880915,10153,69954,38501796,38501796,693627576,655125780,5896132.02,44397928.02,0.153139142392214
"A3253",0.402698540090658,0.419885108589286,16206,8872,6047188,6047188,139274650,133227462,1199047.158,7246235.15799999,0.198281772949674
"A3266",0.301987510561354,0.321999406600308,24543,6586,-23250451,0,152317750,175568201,1580113.809,-21670337.191,-0.0679605659692358
"A3272",0.334698399406335,0.349937893472838,11938,8861,5401715,5401715,104045593,98643878,887794.902,6289509.902,0.164354265636005
"A3273",0.393923302083392,0.410622117355285,11298,35544,5331732,5331732,392443897,387112165,3484009.485,8815741.48500001,0.653447976192354
"A3274",0.511373308422329,0.530062033019822,11895,9567,9972134,9972134,110910373,100938239,908444.151,10880578.151,0.0910982695378936
"A3280",0.515158185508247,0.542358870093545,11812,15376,10664508,10664508,177038742,166374233,1497368.097,12161877.097,0.140406767663356
"A3281",0.314320406080314,0.346009807164993,10312,25164,318052,0,255343725,255025673,2295231.057,2613283.05700001,7.21652766528747
"A3283",0.405107622173552,0.427892588591994,12896,25194,15611189,15611189,315555263,299944073,2699496.657,18310686.657,0.172920695342296
"A3287",0.45722830340704,0.461591814358736,13011,14952,-41385,0,188587471,188628857,1697659.713,1656273.713,-41.021111827957
"A3289",0.306048853694496,0.342539085304436,10691,44741,35324814,35324814,465947611,430622797,3875605.173,39200419.173,0.109713392206396
"A3299",0.386836582161982,0.403425661505696,12639,19660,10278184,10278184,243546377,233268192,2099413.728,12377598.728,0.204259305729493
"A3302",0.365393516975348,0.384836847677833,9662,18763,7663799,7663799,175539122,167875322,1510877.898,9174677.898,0.197144901373327
"A3317",0.36492509839277,0.415548150877168,11272,38903,383857,0,425382661,424998804,3824989.236,4208846.236,9.96462025181253
